symbol
ARKK
DIA
GLD
HYG
IBB
IDU
IEF
IGV
IVV
IWM
IYC
IYE
IYF
IYH
IYJ
IYM
IYW
LQD
QQQ
QQQM
RSP
SHY
SLV
SMH
SOXX
SPY
TLT
UNG
USO
UVXY
VAW
VBR
VCR
VDC
VDE
VFH
VGT
VHT
VIS
VOE
VOO
VPU
VTI
VTV
VTWO
VUG
VXF
VXX
XBI
XLB
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
